cancer_type,n,chi2_unweighted,p_unweighted,chi2_weighted,p_weighted,significant_unweighted,significant_weighted
Blood Tumors,29,51.13,2.10e-10,7.89,9.59e-02,True,False
Bones,11,18.67,9.14e-04,6.99,1.36e-01,True,False
Brain,16,22.94,1.30e-04,4.25,3.73e-01,True,False
Breast,934,1473.32,0.00e+00,341.95,9.61e-73,True,True
Cervix,19,47.73,1.07e-09,8.71,6.87e-02,True,False
Colorectal,148,417.1,5.61e-89,50.09,3.45e-10,True,True
Liver,23,132.21,1.31e-27,22.12,1.90e-04,True,True
Lung,196,403.03,6.15e-86,57.51,9.67e-12,True,True
Ovary,26,83.06,3.91e-17,13.08,1.09e-02,True,True
Pancreas,47,147.95,5.59e-31,24.27,7.06e-05,True,True
Skin,43,21.03,3.12e-04,3.51,4.76e-01,True,False
